Event	ID	Name			Wwise Object Path	Notes
	37469952	Play_Jellies_Roam_Stone			\Default Work Unit\Jellies\Play_Jellies_Roam_Stone	
	98439365	Play_Player_Footsteps			\Default Work Unit\Player\Play_Player_Footsteps	
	403792184	Play_Jellies_Pet			\Default Work Unit\Jellies\Play_Jellies_Pet	
	659570891	Play_UI_Pause_OpenMenu			\Default Work Unit\UI\Play_UI_Pause_OpenMenu	
	1113491808	Play_Pickup_IslandBlocks			\Default Work Unit\Player\Play_Pickup_IslandBlocks	
	1158385986	Play_UI__CraftingMenu_ClosingCraftingSystem_01			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_ClosingCraftingSystem_01	
	1376999814	Play_PickupItem_Berries			\Default Work Unit\Player\Play_PickupItem_Berries	
	1406322581	Play_Jellies_Roam_Grass			\Default Work Unit\Jellies\Play_Jellies_Roam_Grass	
	1488088378	Play_UI__CraftingMenu_CraftCantDone_01			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_CraftCantDone_01	
	1572933919	Play_UI_Pause_CloseMenu			\Default Work Unit\UI\Play_UI_Pause_CloseMenu	
	1848836357	Play_UI__CraftingMenu_ListOfItems_01			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_ListOfItems_01	
	2013194162	Play_UI__CraftingMenu_Upgrade_01			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_Upgrade_01	
	2015355878	Play_Jellies_Roam_Wood			\Default Work Unit\Jellies\Play_Jellies_Roam_Wood	
	2264789132	Play_Campfire_Extinguish			\Default Work Unit\Env\Play_Campfire_Extinguish	
	2405070987	Play_Jelly_Eating			\Default Work Unit\Jellies\Play_Jelly_Eating	
	2406796967	Play_UI__CraftingMenu_LeftClickIcon_02			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_LeftClickIcon_02	
	2451341124	Play_Env_Drone_AllSounds			\Default Work Unit\Env\Play_Env_Drone_AllSounds	
	2540695190	Play_UI_Pause_InMenuSounds			\Default Work Unit\UI\Play_UI_Pause_InMenuSounds	
	2584199242	Play_UI__CraftingMenu_RightClickIcon_02			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_RightClickIcon_02	
	2922412317	Play_Env_Block_Sound			\Default Work Unit\Env\Play_Env_Block_Sound	
	2962648104	Play_UI__CraftingMenu_OpeningUpCraftingSystem_01			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_OpeningUpCraftingSystem_01	
	2978452144	Play_UseItem_Block			\Default Work Unit\Player\Play_UseItem_Block	
	3079436876	Play_UI__CraftingMenu_Craft_01			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_Craft_01	
	3170528434	Play_UI__CraftingMenu_Sorting_01			\Default Work Unit\UI\Crafting UI\Play_UI__CraftingMenu_Sorting_01	
	3487040007	Play_IslandHeart_LevelUp			\Default Work Unit\Env\Play_IslandHeart_LevelUp	
	3822484859	Play_Jellydue_Pickup			\Default Work Unit\Jellies\Play_Jellydue_Pickup	
	3878502195	Stop_Campfire			\Default Work Unit\Env\Stop_Campfire	
	4000411161	Play_Campfire			\Default Work Unit\Env\Play_Campfire	
	4190538351	Play_UI_Pause_TabSounds			\Default Work Unit\UI\Play_UI_Pause_TabSounds	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\Material	
	4247838896	ItemType			\Default Work Unit\ItemType	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Material			
	1216965916	Stone	Material			
	2058049674	Wood	Material			
	2195636714	Dirt	Material			
	4248645337	Grass	Material			
	2065309022	BlockGrass	ItemType			
	2903927127	BlockStone	ItemType			
	3465160839	BlockBroken	ItemType			
	3915253415	BlockWood	ItemType			

State Group	ID	Name			Wwise Object Path	Notes
	1043523140	FireState			\Default Work Unit\FireState	
	4091656514	GameState			\Default Work Unit\GameState	

State	ID	Name	State Group			Notes
	205898616	FireOff	FireState			
	307829538	FireOn	FireState			
	748895195	None	FireState			
	748895195	None	GameState			
	2219001485	Game_On	GameState			
	2772308904	Game_Pause	GameState			

Custom State	ID	Name	State Group	Owner		Notes
	900628022	FireOff	FireState	\Actor-Mixer Hierarchy\Env\Enviroment\Env--General-Campfire_01		

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4594063	Player--Footstep-Stone_03	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Player--Footstep-Stone_03_10C4C929.wem		\Actor-Mixer Hierarchy\Player\Footsteps\Stone\Player--Footstep-Stone_03		128768
	23739380	Jellies--Grass-Roaming_01	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Jellies--Grass-Roaming_01_10C4C929.wem		\Actor-Mixer Hierarchy\Jellies\Roaming\Grass\Jellies--Grass-Roaming_01		187748
	34653539	Player--UseItem-BlockStone_06	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Player--UseItem-BlockStone_06_10C4C929.wem		\Actor-Mixer Hierarchy\Player\UseItem\Block\BlockStone\Player--UseItem-BlockStone_06		183040
	36526449	Jellies--General--Eating--SFX_1	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Jellies--General--Eating--SFX_1_10C4C929.wem		\Actor-Mixer Hierarchy\Jellies\Eating\Jellies--General--Eating--SFX_1		768064
	37732381	Player--Footstep-Wood_03	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Player--Footstep-Wood_03_10C4C929.wem		\Actor-Mixer Hierarchy\Player\Footsteps\Wood\Player--Footstep-Wood_03		176544
	53662747	Jellies--Grass-Roaming_03	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Jellies--Grass-Roaming_03_10C4C929.wem		\Actor-Mixer Hierarchy\Jellies\Roaming\Grass\Jellies--Grass-Roaming_03		128408
	53939665	Jellies--General--Eating--chomp_1	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Jellies--General--Eating--chomp_1_10C4C929.wem		\Actor-Mixer Hierarchy\Jellies\Eating\Jellies--General--Eating--chomp_1		384064
	85280361	UI--Pause-InMenuSounds	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\UI--PauseMenu_LeftClick_01_10C4C929.wem		\Actor-Mixer Hierarchy\UI\UI--Pause-InMenuSounds		105712
	93842916	Jellies--Wood-Roaming_02	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Jellies--Wood-Roaming_02_10C4C929.wem		\Actor-Mixer Hierarchy\Jellies\Roaming\Wood\Jellies--Wood-Roaming_02		100108
	99406942	Jellies--Grass-Roaming_02	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Jellies--Grass-Roaming_02_10C4C929.wem		\Actor-Mixer Hierarchy\Jellies\Roaming\Grass\Jellies--Grass-Roaming_02		158768
	115667677	Env--General-Campfire_01	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Env--General-Campfire_01_10C4C929.wem		\Actor-Mixer Hierarchy\Env\Enviroment\Env--General-Campfire_01		1772224
	116842961	Jellies--Grass-Roaming_04	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Jellies--Grass-Roaming_04_10C4C929.wem		\Actor-Mixer Hierarchy\Jellies\Roaming\Grass\Jellies--Grass-Roaming_04		169808
	133938429	UI--CraftingMenu-ListOfItems_01	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\UI--CraftingMenu-ListOfItems_01_BEB8731A.wem		\Actor-Mixer Hierarchy\UI\Crafting UI\UI--CraftingMenu-ListOfItems_01		77956
	135331910	Player--UseItem-BlockStone_08	C:\Users\jasmi\Documents\GitHub\skyjellies\skyjellies\skyjellies_WwiseProject\.cache\Windows\SFX\Player--UseItem-BlockStone_08_10C4C929.wem		\Actor-Mixer Hierarchy\Player\UseItem\Block\BlockStone\Player--UseItem-BlockStone_08		146052
